index,gameDuration
20000,1671
20001,1227
20002,1458
20003,1317
20004,2091
20005,1343
20006,1848
20007,639
20008,1351
20009,1977
20010,1764
20011,1793
20012,1407
20013,1679
20014,1854
20015,1992
20016,1483
20017,1576
20018,1315
20019,2363
20020,1266
20021,1690
20022,1656
20023,1351
20024,967
20025,1902
20026,1347
20027,1372
20028,1633
20029,1876
20030,1702
20031,1890
20032,1437
20033,1146
20034,1431
20035,1210
20036,925
20037,1455
20038,1165
20039,1943
20040,2385
20041,1470
20042,932
20043,907
20044,1241
20045,1831
20046,1583
20047,1922
20048,1602
20049,1792
20050,1622
20051,1560
20052,2797
20053,195
20054,1561
20055,2106
20056,2323
20057,911
20058,1299
20059,1957
20060,2039
20061,2275
20062,1769
20063,1482
20064,1875
20065,1803
20066,1618
20067,912
20068,2081
20069,1595
20070,1396
20071,1480
20072,964
20073,1339
20074,1480
20075,1220
20076,2489
20077,1718
20078,1801
20079,2066
20080,1219
20081,2067
20082,912
20083,1660
20084,1084
20085,1776
20086,951
20087,2239
20088,1226
20089,1835
20090,1886
20091,1255
20092,1777
20093,1807
20094,1626
20095,1744
20096,1857
20097,1752
20098,1830
20099,1611
20100,1890
20101,2383
20102,1331
20103,1684
20104,1474
20105,2524
20106,1134
20107,1856
20108,2119
20109,1926
20110,960
20111,1980
20112,1212
20113,1791
20114,2202
20115,1645
20116,1407
20117,1298
20118,1210
20119,1746
20120,1207
20121,616
20122,1376
20123,1214
20124,2386
20125,1193
20126,1718
20127,1098
20128,2070
20129,1780
20130,2256
20131,1678
20132,1292
20133,1233
20134,1218
20135,1225
20136,907
20137,1571
20138,2017
20139,1691
20140,1747
20141,1678
20142,1567
20143,1763
20144,1536
20145,1831
20146,1985
20147,2990
20148,942
20149,1569
20150,1617
20151,1974
20152,1150
20153,2144
20154,1824
20155,2017
20156,1570
20157,1597
20158,1365
20159,931
20160,1300
20161,1595
20162,1659
20163,1442
20164,1693
20165,1678
20166,1422
20167,917
20168,1971
20169,1356
20170,1215
20171,1477
20172,1707
20173,916
20174,2385
20175,2305
20176,1599
20177,2369
20178,1588
20179,1478
20180,1680
20181,1224
20182,1964
20183,1621
20184,1722
20185,2047
20186,1734
20187,2219
20188,2243
20189,1358
20190,1857
20191,1700
20192,1909
20193,1916
20194,1475
20195,1472
20196,2139
20197,1348
20198,1476
20199,1211
20200,1947
20201,1421
20202,1902
20203,1591
20204,1373
20205,2194
20206,1988
20207,978
20208,1205
20209,945
20210,927
20211,1450
20212,1927
20213,1837
20214,1839
20215,1819
20216,1334
20217,1948
20218,1828
20219,1668
20220,193
20221,2268
20222,2730
20223,1904
20224,1806
20225,1814
20226,1545
20227,1749
20228,1717
20229,1149
20230,1738
20231,1834
20232,1448
20233,1580
20234,1541
20235,1736
20236,1670
20237,1350
20238,1260
20239,1359
20240,1486
20241,940
20242,1191
20243,1421
20244,1211
20245,1656
20246,1766
20247,1556
20248,1641
20249,1809
20250,1712
20251,2077
20252,911
20253,2244
20254,1292
20255,1684
20256,1930
20257,1501
20258,1452
20259,1917
20260,1890
20261,1085
20262,1665
20263,1030
20264,1424
20265,1627
20266,915
20267,1512
20268,2088
20269,1146
20270,1934
20271,1784
20272,2148
20273,1537
20274,1381
20275,1719
20276,2319
20277,934
20278,1564
20279,1496
20280,1660
20281,1164
20282,1253
20283,1611
20284,2005
20285,1571
20286,1641
20287,952
20288,1412
20289,2090
20290,969
20291,2182
20292,1108
20293,2275
20294,1920
20295,2087
20296,1491
20297,2391
20298,1734
20299,1309
20300,1656
20301,1604
20302,2200
20303,1768
20304,193
20305,1225
20306,1448
20307,2077
20308,1575
20309,1250
20310,1856
20311,2167
20312,1293
20313,1601
20314,1811
20315,1748
20316,1702
20317,2134
20318,1423
20319,1127
20320,1969
20321,1919
20322,2075
20323,1466
20324,1421
20325,1650
20326,1779
20327,1554
20328,1797
20329,1715
20330,978
20331,1611
20332,1273
20333,1778
20334,1110
20335,1834
20336,1854
20337,2011
20338,932
20339,2010
20340,2134
20341,1823
20342,1437
20343,1681
20344,1809
20345,1113
20346,1052
20347,1178
20348,924
20349,1110
20350,1802
20351,1220
20352,1546
20353,1106
20354,2294
20355,1511
20356,1244
20357,1588
20358,193
20359,2480
20360,1684
20361,2171
20362,1659
20363,1951
20364,1937
20365,1304
20366,918
20367,1079
20368,1866
20369,1568
20370,1413
20371,1841
20372,945
20373,1589
20374,1446
20375,1798
20376,2191
20377,1072
20378,1556
20379,1553
20380,1710
20381,1507
20382,1687
20383,1508
20384,1228
20385,1904
20386,1884
20387,1862
20388,928
20389,2535
20390,1303
20391,1693
20392,1494
20393,1925
20394,1675
20395,1258
20396,942
20397,999
20398,1412
20399,1367
20400,1841
20401,1478
20402,1827
20403,1931
20404,932
20405,1513
20406,1340
20407,2378
20408,2317
20409,1715
20410,1593
20411,874
20412,2352
20413,198
20414,1673
20415,1294
20416,1138
20417,1867
20418,915
20419,1656
20420,1301
20421,1718
20422,1815
20423,1862
20424,1230
20425,1555
20426,1228
20427,1505
20428,1551
20429,1486
20430,1174
20431,1225
20432,1680
20433,1173
20434,1238
20435,1714
20436,599
20437,1672
20438,1556
20439,1387
20440,2278
20441,760
20442,2231
20443,1611
20444,1213
20445,1430
20446,1996
20447,1768
20448,1734
20449,1805
20450,1934
20451,1751
20452,1801
20453,958
20454,917
20455,1995
20456,2090
20457,1882
20458,2015
20459,1173
20460,1489
20461,1383
20462,914
20463,1400
20464,1283
20465,1873
20466,1676
20467,1269
20468,1379
20469,1524
20470,1576
20471,1475
20472,950
20473,1269
20474,2438
20475,1496
20476,1656
20477,1498
20478,2762
20479,1251
20480,2018
20481,1747
20482,1721
20483,1715
20484,1247
20485,1525
20486,1597
20487,2105
20488,1823
20489,1688
20490,1354
20491,1844
20492,1186
20493,1740
20494,1187
20495,1355
20496,1462
20497,861
20498,1875
20499,1384
20500,1328
20501,2017
20502,191
20503,1493
20504,192
20505,2070
20506,1720
20507,1531
20508,946
20509,1078
20510,1625
20511,1198
20512,1749
20513,1750
20514,1477
20515,1831
20516,1417
20517,1294
20518,1603
20519,1563
20520,2087
20521,2271
20522,1384
20523,1510
20524,1725
20525,1422
20526,929
20527,1766
20528,191
20529,1443
20530,1556
20531,2128
20532,1705
20533,1000
20534,1679
20535,1529
20536,1563
20537,2437
20538,1596
20539,1695
20540,1691
20541,958
20542,1137
20543,1572
20544,1701
20545,1870
20546,1439
20547,2361
20548,1301
20549,2141
20550,1704
20551,1200
20552,1376
20553,942
20554,1430
20555,2164
20556,2460
20557,1897
20558,2108
20559,1952
20560,1210
20561,1210
20562,2048
20563,2093
20564,1713
20565,1237
20566,1346
20567,1817
20568,1536
20569,1059
20570,1979
20571,1210
20572,1831
20573,1940
20574,1537
20575,1770
20576,1533
20577,981
20578,1112
20579,942
20580,1768
20581,1251
20582,1076
20583,2125
20584,1341
20585,1522
20586,1255
20587,1901
20588,1398
20589,914
20590,1321
20591,1476
20592,1251
20593,1764
20594,944
20595,2361
20596,1443
20597,1874
20598,1756
20599,1246
20600,1290
20601,967
20602,2170
20603,2356
20604,1238
20605,1171
20606,1583
20607,1180
20608,1668
20609,1687
20610,1566
20611,1317
20612,2031
20613,1156
20614,1691
20615,1487
20616,1261
20617,1937
20618,1486
20619,1411
20620,1388
20621,1606
20622,929
20623,725
20624,1366
20625,943
20626,1868
20627,923
20628,1541
20629,2542
20630,1546
20631,1293
20632,975
20633,1498
20634,1300
20635,2196
20636,1630
20637,1911
20638,2124
20639,1269
20640,1600
20641,1624
20642,1235
20643,1936
20644,1526
20645,1377
20646,1337
20647,1337
20648,1890
20649,1706
20650,1755
20651,985
20652,1401
20653,2153
20654,1217
20655,2223
20656,2188
20657,1427
20658,921
20659,1710
20660,1718
20661,2175
20662,1549
20663,1295
20664,1610
20665,1773
20666,1606
20667,1677
20668,1686
20669,1920
20670,1415
20671,1599
20672,1575
20673,2031
20674,1547
20675,1844
20676,2446
20677,936
20678,963
20679,1278
20680,1597
20681,1905
20682,1136
20683,1319
20684,1758
20685,2105
20686,2271
20687,1976
20688,1558
20689,1837
20690,1412
20691,1273
20692,1871
20693,1021
20694,1373
20695,2337
20696,1209
20697,1400
20698,2309
20699,1337
